net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,4.721363
ACASXu_1_1.nnet,adversarial_1,SAT,4.321249
ACASXu_1_1.nnet,adversarial_2,SAT,4.221063
ACASXu_1_1.nnet,adversarial_3,SAT,4.721877
ACASXu_1_1.nnet,adversarial_4,SAT,4.321216
ACASXu_1_1.nnet,adversarial_5,SAT,4.621655
ACASXu_1_1.nnet,adversarial_6,SAT,3.920485
ACASXu_1_1.nnet,adversarial_7,SAT,4.321321
ACASXu_1_1.nnet,adversarial_8,SAT,3.870173
ACASXu_1_1.nnet,adversarial_9,SAT,4.671502
ACASXu_1_1.nnet,adversarial_10,SAT,4.521116
ACASXu_1_1.nnet,adversarial_11,SAT,4.571300
ACASXu_1_1.nnet,adversarial_12,SAT,4.020359
ACASXu_1_1.nnet,adversarial_13,SAT,4.421318
ACASXu_1_1.nnet,adversarial_14,SAT,4.370861
ACASXu_1_1.nnet,adversarial_15,SAT,4.571400
ACASXu_1_1.nnet,adversarial_16,SAT,4.170630
ACASXu_1_1.nnet,adversarial_17,SAT,4.371194
ACASXu_1_1.nnet,adversarial_18,SAT,3.719893
ACASXu_1_1.nnet,adversarial_19,SAT,4.120350
ACASXu_1_2.nnet,adversarial_0,UNSAT,96.706791
ACASXu_1_2.nnet,adversarial_1,UNSAT,5.172395
ACASXu_1_2.nnet,adversarial_2,SAT,5.322615
ACASXu_1_2.nnet,adversarial_3,SAT,4.721716
ACASXu_1_2.nnet,adversarial_4,UNSAT,6.774642
ACASXu_1_2.nnet,adversarial_5,SAT,5.022105
ACASXu_1_2.nnet,adversarial_6,UNSAT,5.172135
ACASXu_1_2.nnet,adversarial_7,UNSAT,6.724593
ACASXu_1_2.nnet,adversarial_8,UNSAT,5.372465
ACASXu_1_2.nnet,adversarial_9,SAT,4.621866
ACASXu_1_2.nnet,adversarial_10,UNSAT,5.973075
ACASXu_1_2.nnet,adversarial_11,UNSAT,6.774584
ACASXu_1_2.nnet,adversarial_12,UNSAT,5.522699
ACASXu_1_2.nnet,adversarial_13,SAT,4.721630
ACASXu_1_2.nnet,adversarial_14,SAT,4.671767
ACASXu_1_2.nnet,adversarial_15,UNKNOWN,5.522997
ACASXu_1_2.nnet,adversarial_16,UNSAT,5.873375
ACASXu_1_2.nnet,adversarial_17,UNSAT,7.525883
ACASXu_1_2.nnet,adversarial_18,UNSAT,5.322951
ACASXu_1_2.nnet,adversarial_19,UNSAT,5.673397
ACASXu_1_3.nnet,adversarial_0,SAT,4.872242
ACASXu_1_3.nnet,adversarial_1,SAT,4.571537
ACASXu_1_3.nnet,adversarial_2,SAT,4.771857
ACASXu_1_3.nnet,adversarial_3,SAT,5.122511
ACASXu_1_3.nnet,adversarial_4,SAT,4.772037
ACASXu_1_3.nnet,adversarial_5,SAT,4.571419
ACASXu_1_3.nnet,adversarial_6,SAT,4.777679
ACASXu_1_3.nnet,adversarial_7,SAT,4.571329
ACASXu_1_3.nnet,adversarial_8,SAT,4.872046
ACASXu_1_3.nnet,adversarial_9,SAT,5.022479
ACASXu_1_3.nnet,adversarial_10,SAT,4.822217
ACASXu_1_3.nnet,adversarial_11,SAT,4.872177
ACASXu_1_3.nnet,adversarial_12,SAT,4.822115
ACASXu_1_3.nnet,adversarial_13,SAT,4.822114
ACASXu_1_3.nnet,adversarial_14,SAT,4.822191
