net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,2.126235
ACASXu_1_1.nnet,adversarial_1,SAT,0.475517
ACASXu_1_1.nnet,adversarial_2,SAT,0.416970
ACASXu_1_1.nnet,adversarial_3,SAT,0.460599
ACASXu_1_1.nnet,adversarial_4,SAT,0.430945
ACASXu_1_1.nnet,adversarial_5,SAT,0.535145
ACASXu_1_1.nnet,adversarial_6,SAT,0.450992
ACASXu_1_1.nnet,adversarial_7,SAT,0.475925
ACASXu_1_1.nnet,adversarial_8,SAT,0.528613
ACASXu_1_1.nnet,adversarial_9,SAT,0.526513
ACASXu_1_1.nnet,adversarial_10,SAT,0.363018
ACASXu_1_1.nnet,adversarial_11,SAT,0.563890
ACASXu_1_1.nnet,adversarial_12,SAT,0.419703
ACASXu_1_1.nnet,adversarial_13,SAT,0.478485
ACASXu_1_1.nnet,adversarial_14,SAT,0.404329
ACASXu_1_1.nnet,adversarial_15,SAT,0.434674
ACASXu_1_1.nnet,adversarial_16,SAT,0.394630
ACASXu_1_1.nnet,adversarial_17,SAT,0.503036
ACASXu_1_1.nnet,adversarial_18,SAT,0.382329
ACASXu_1_1.nnet,adversarial_19,SAT,0.452541
ACASXu_1_2.nnet,adversarial_0,SAT,0.424028
ACASXu_1_2.nnet,adversarial_1,SAT,0.500434
ACASXu_1_2.nnet,adversarial_2,SAT,0.533871
ACASXu_1_2.nnet,adversarial_3,SAT,0.481941
ACASXu_1_2.nnet,adversarial_4,SAT,0.361241
ACASXu_1_2.nnet,adversarial_5,SAT,0.481166
ACASXu_1_2.nnet,adversarial_6,SAT,0.463182
ACASXu_1_2.nnet,adversarial_7,SAT,0.574852
ACASXu_1_2.nnet,adversarial_8,SAT,0.472083
ACASXu_1_2.nnet,adversarial_9,SAT,0.496993
ACASXu_1_2.nnet,adversarial_10,SAT,0.480032
ACASXu_1_2.nnet,adversarial_11,SAT,0.562773
ACASXu_1_2.nnet,adversarial_12,SAT,0.415413
ACASXu_1_2.nnet,adversarial_13,SAT,0.462193
ACASXu_1_2.nnet,adversarial_14,SAT,0.400102
ACASXu_1_2.nnet,adversarial_15,SAT,0.559532
ACASXu_1_2.nnet,adversarial_16,SAT,0.436344
ACASXu_1_2.nnet,adversarial_17,SAT,0.568955
ACASXu_1_2.nnet,adversarial_18,SAT,0.439178
ACASXu_1_2.nnet,adversarial_19,SAT,0.579745
