net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,4.559262
ACASXu_1_1.nnet,adversarial_1,SAT,4.275402
ACASXu_1_1.nnet,adversarial_2,SAT,2.988892
ACASXu_1_1.nnet,adversarial_3,SAT,2.900645
ACASXu_1_1.nnet,adversarial_4,SAT,2.831031
ACASXu_1_1.nnet,adversarial_5,SAT,4.011295
ACASXu_1_1.nnet,adversarial_6,SAT,3.409164
ACASXu_1_1.nnet,adversarial_7,SAT,3.171435
ACASXu_1_1.nnet,adversarial_8,SAT,3.119250
ACASXu_1_1.nnet,adversarial_9,SAT,3.770255
ACASXu_1_1.nnet,adversarial_10,SAT,3.222303
ACASXu_1_1.nnet,adversarial_11,SAT,3.372244
ACASXu_1_1.nnet,adversarial_12,SAT,2.997904
ACASXu_1_1.nnet,adversarial_13,SAT,3.261494
ACASXu_1_1.nnet,adversarial_14,SAT,3.640798
ACASXu_1_1.nnet,adversarial_15,SAT,3.330611
ACASXu_1_1.nnet,adversarial_16,SAT,3.911759
ACASXu_1_1.nnet,adversarial_17,SAT,3.958068
ACASXu_1_1.nnet,adversarial_18,SAT,4.726576
ACASXu_1_1.nnet,adversarial_19,SAT,3.716092
ACASXu_1_2.nnet,adversarial_0,SAT,3.404353
ACASXu_1_2.nnet,adversarial_1,UNSAT,3.559260
ACASXu_1_2.nnet,adversarial_2,UNSAT,4.266699
ACASXu_1_2.nnet,adversarial_3,UNSAT,4.295577
ACASXu_1_2.nnet,adversarial_4,UNSAT,4.445022
ACASXu_1_2.nnet,adversarial_5,UNSAT,3.675726
ACASXu_1_2.nnet,adversarial_6,SAT,3.384830
ACASXu_1_2.nnet,adversarial_7,UNSAT,2.571766
ACASXu_1_2.nnet,adversarial_8,UNSAT,2.739263
ACASXu_1_2.nnet,adversarial_9,UNSAT,4.404327
ACASXu_1_2.nnet,adversarial_10,UNSAT,3.764915
ACASXu_1_2.nnet,adversarial_11,SAT,4.573198
ACASXu_1_2.nnet,adversarial_12,UNSAT,4.674035
ACASXu_1_2.nnet,adversarial_13,UNSAT,4.262433
ACASXu_1_2.nnet,adversarial_14,UNSAT,3.220409
ACASXu_1_2.nnet,adversarial_15,UNSAT,2.765687
ACASXu_1_2.nnet,adversarial_16,SAT,4.343857
ACASXu_1_2.nnet,adversarial_17,UNSAT,3.288824
ACASXu_1_2.nnet,adversarial_18,SAT,2.884995
ACASXu_1_2.nnet,adversarial_19,UNSAT,2.812102
ACASXu_1_3.nnet,adversarial_0,SAT,6.311535
ACASXu_1_3.nnet,adversarial_1,SAT,4.562923
ACASXu_1_3.nnet,adversarial_2,SAT,4.459567
ACASXu_1_3.nnet,adversarial_3,SAT,3.750595
ACASXu_1_3.nnet,adversarial_4,SAT,2.984061
ACASXu_1_3.nnet,adversarial_5,SAT,3.849084
ACASXu_1_3.nnet,adversarial_6,SAT,4.206306
ACASXu_1_3.nnet,adversarial_7,SAT,3.996136
ACASXu_1_3.nnet,adversarial_8,SAT,2.856569
ACASXu_1_3.nnet,adversarial_9,SAT,2.705320
ACASXu_1_3.nnet,adversarial_10,SAT,3.586561
ACASXu_1_3.nnet,adversarial_11,SAT,3.458472
ACASXu_1_3.nnet,adversarial_12,SAT,2.885370
ACASXu_1_3.nnet,adversarial_13,SAT,3.354979
ACASXu_1_3.nnet,adversarial_14,SAT,3.256961
ACASXu_1_3.nnet,adversarial_15,SAT,3.818423
ACASXu_1_3.nnet,adversarial_16,SAT,3.231384
ACASXu_1_3.nnet,adversarial_17,SAT,4.279702
ACASXu_1_3.nnet,adversarial_18,SAT,3.257856
ACASXu_1_3.nnet,adversarial_19,SAT,3.882728
ACASXu_1_4.nnet,adversarial_0,SAT,4.350043
