sample_index,status,elapsed_seconds
0,skipped,1.963199
1,skipped,0.341964
2,unsat,565.074842
3,skipped,0.369617
4,sat,3.042656
5,skipped,0.358134
6,sat,5.221353
7,unsat,83.301671
8,timeout,3600.853010
9,skipped,0.370336
10,timeout,3600.589554
11,sat,2.262440
12,timeout,3600.797293
13,skipped,0.380780
14,sat,5.155994
15,sat,3600.364793
16,sat,4.481377
17,sat,3600.545
18,skipped,0.381809
19,skipped,0.380613
20,skipped,0.380106
21,skipped,0.380906
22,timeout,3600.569392
23,timeout,3600.326804
24,sat,2.836731
25,skipped,0.388161
26,timeout,3600.849665
27,skipped,0.385623
28,timeout,3600.808033
29,skipped,0.379213
30,sat,40.312267
31,timeout,3600.581950
32,unsat,169.908632
33,skipped,0.409540
34,skipped,0.409401
35,skipped,0.400450
36,skipped,0.412080
37,timeout,3600.838024
38,skipped,4.904159
39,skipped,0.400706
40,skipped,0.399028
41,skipped,0.396856
42,skipped,0.401483
43,timeout,3600.635124
44,timeout,3600.584574
45,unsat,230.601502
46,unsat,136.254396
47,skipped,0.419362
48,sat,100.580490
49,sat,2.425846
50,skipped,0.391416
