sample_index,status,elapsed_seconds
0,skipped,1.822208
1,skipped,0.349891
2,unsat,25.707653
3,skipped,0.364137
4,sat,5.703814
5,skipped,0.345750
6,sat,6.633742
7,unsat,4.657590
8,timeout,3606.690268
9,skipped,0.379712
10,timeout,3605.090608
11,sat,7.850746
12,timeout,3605.338856
13,skipped,0.383911
14,sat,8.664553
15,sat,662.452318
16,sat,10.853772
17,sat,1058.847745
18,skipped,0.365064
19,skipped,0.361497
20,skipped,0.359666
21,skipped,0.360841
22,timeout,3604.891827
23,timeout,3607.200107
24,sat,5.565845
25,skipped,0.370054
26,timeout,3605.058271
27,skipped,0.367564
28,timeout,3604.870182
29,skipped,0.373080
30,sat,12.701733
31,timeout,3604.828075
32,unsat,4.528313
33,skipped,0.373509
34,skipped,0.361608
35,skipped,0.361385
36,skipped,0.360997
37,timeout,3604.971529
38,skipped,0.370981
39,skipped,0.365750
40,skipped,0.365882
41,skipped,0.366371
42,skipped,0.365400
43,unsat,897.969708
44,timeout,3606.614929
45,unsat,4.414322
46,unsat,4.537442
47,skipped,0.369550
48,sat,8.029821
49,sat,6.201828
50,skipped,0.371816
