sample_index,status,elapsed_seconds
0,sat,247.218071
1,timeout,3600.182073
2,timeout,3600.356395
3,timeout,3600.322230
4,timeout,3600.166158
5,sat,1669.534175
6,timeout,3600.265161
7,timeout,3600.160887
8,timeout,3600.185890
9,timeout,3600.236230
10,timeout,3600.613080
11,timeout,3600.165034
12,unsat,176.221501
13,timeout,3600.503217
14,timeout,3600.282311
15,timeout,3600.168258
16,timeout,3600.167170
17,timeout,3600.171346
18,sat,1.357251
19,timeout,3600.180391
20,timeout,3600.257380
21,timeout,3600.166240
22,sat,1.285020
23,timeout,3600.468567
24,sat,0.854575
25,sat,35.267743
26,timeout,3600.192569
27,unsat,81.038625
28,sat,66.481683
29,timeout,3600.210119
30,timeout,3600.238457
31,timeout,3600.319644
32,timeout,3600.253765
33,timeout,3600.207943
34,timeout,3600.168736
35,timeout,3600.170792
36,timeout,3600.183034
37,timeout,3600.241542
38,timeout,3600.166416
39,sat,0.910429
40,timeout,3600.599896
41,timeout,3600.163509
42,timeout,3600.222484
43,timeout,3600.217224
44,timeout,3600.169320
45,timeout,3600.165690
46,timeout,3600.204504
47,timeout,3600.349880
48,sat,1.275070
49,sat,589.200076
50,timeout,3600.214499
