sample_index,status,elapsed_seconds
0,sat,572.169061
1,timeout,3606.046658
2,timeout,3607.791587
3,timeout,3604.461362
4,timeout,3606.950653
5,timeout,3610.755805
6,sat,2737.680837
7,unsat,17.638278
8,timeout,3603.624946
9,timeout,3603.736958
10,sat,2154.712709
11,timeout,3603.689687
12,unsat,3.704466
13,timeout,3604.112286
14,timeout,3603.746708
15,timeout,3604.004017
16,sat,1323.941699
17,sat,5.447961
18,sat,7.308888
19,timeout,3604.000122
20,unsat,130.180482
21,timeout,3603.899804
22,timeout,3604.138902
23,timeout,3604.177044
24,timeout,3603.842317
25,sat,4.586989
26,timeout,3603.838432
27,unsat,3.818742
28,sat,4.446170
29,timeout,3604.273420
30,sat,13.106512
31,unsat,3436.024673
32,timeout,3609.631589
33,timeout,3619.360035
34,timeout,3604.392218
35,timeout,3603.923460
36,timeout,3604.295287
37,unsat,8.511246
38,sat,360.469774
39,sat,4.485503
40,timeout,3603.916482
41,timeout,3602.389327
42,timeout,178.565299
43,sat,3602.325883
44,timeout,3601.970923
45,timeout,3601.676479
46,timeout,3601.937637
47,timeout,3602.161948
48,timeout,4.692935
49,sat,42.290678
50,sat,3602.489400
